"AF,Ext,Ranking,prefequalspreferred,stabequalsstable,compl,equalcomp,
"
"<{ A0 },[]>",[{A0}],{A0=1},[{A0}],true,[{A0}],true,[{A0}],true
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A3), (A0,A2)]>","[{A1,A0}]","{A1=1, A2=0.5, A3=0.5, A0=1}","[{A1,A0}]",true,"[{A1,A0}]",true,"[{A1,A0}]",true
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A0,A1), (A3,A0)]>","[{A1,A3}, {A2,A3}]","{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=1, A0=0.5}","[{A1,A3}, {A2,A3}]",true,"[{A1,A3}, {A2,A3}]",true,"[{A3}, {A1,A3}, {A2,A3}]",false
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A1), (A3,A0)]>","[{A2,A3}]","{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=1, A0=0.5}","[{A2,A3}]",true,"[{A2,A3}]",true,"[{A3}, {A2,A3}]",false
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A3,A0), (A3,A1)]>","[{A2,A3}]","{A1=0.5, A2=0.6666666666666666666666666666666667, A3=1, A0=0.5}","[{A2,A3}]",true,"[{A2,A3}]",true,"[{A2,A3}]",true
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A0,A3), (A1,A0)]>","[{A1,A3}]","{A1=1, A2=0.5, A3=0.6666666666666666666666666666666667, A0=0.5}","[{A1,A3}]",true,"[{A1,A3}]",true,"[{A1,A3}]",true
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2), (A0,A2), (A3,A2)]>","[{A1,A3,A0}]","{A1=1, A2=0.5, A3=1, A0=1}","[{A1,A3,A0}]",true,"[{A1,A3,A0}]",true,"[{A1,A3,A0}]",true
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A1,A3), (A2,A2)]>","[{A1,A0}]","{A1=1, A2=0.5, A3=0.5, A0=1}","[{A1,A0}]",true,"[{A1,A0}]",true,"[{A1,A0}]",true
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A0,A3), (A3,A2)]>","[{A1,A0}]","{A1=1, A2=0.5, A3=0.5, A0=1}","[{A1,A0}]",true,"[{A1,A0}]",true,"[{A1,A0}]",true
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A3), (A3,A2)]>","[{A1,A0}]","{A1=1, A2=0.5, A3=0.5, A0=1}","[{A1,A0}]",true,"[{A1,A0}]",true,"[{A1,A0}]",true
"<{ A1, A2, A0 },[(A1,A2), (A2,A1)]>","[{A1,A0}, {A2,A0}]","{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A0=1}","[{A1,A0}, {A2,A0}]",true,"[{A1,A0}, {A2,A0}]",true,"[{A0}, {A1,A0}, {A2,A0}]",false
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2)]>","[{A3,A0}]","{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=1, A0=1}","[{A3,A0}]",true,[],false,"[{A3,A0}]",true
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A2), (A3,A1)]>","[{A3,A0}]","{A1=0.5, A2=0.6180555555555555555555555555555556, A3=1, A0=1}","[{A3,A0}]",true,[],false,"[{A3,A0}]",true
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2), (A2,A3), (A0,A3)]>","[{A1,A0}]","{A1=1, A2=0.5, A3=0.5, A0=1}","[{A1,A0}]",true,"[{A1,A0}]",true,"[{A1,A0}]",true
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A2), (A0,A3)]>","[{A1,A0}]","{A1=1, A2=0.5, A3=0.5, A0=1}","[{A1,A0}]",true,"[{A1,A0}]",true,"[{A1,A0}]",true
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A2), (A2,A3)]>","[{A1,A0}]","{A1=1, A2=0.5, A3=0.5, A0=1}","[{A1,A0}]",true,"[{A1,A0}]",true,"[{A1,A0}]",true
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A3), (A3,A2)]>","[{A1,A0}]","{A1=1, A2=0.5, A3=0.6180555555555555555555555555555556, A0=1}","[{A1,A0}]",true,[],false,"[{A1,A0}]",true
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A2,A2), (A0,A0)]>",[{}],"{A1=0.6180371352785145888594164456233422, A2=0.6180371352785145888594164456233422, A3=0.6180371352785145888594164456233422, A0=0.6180371352785145888594164456233422}",[{}],true,[],false,[{}],true
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A0,A0), (A2,A3)]>",[{}],"{A1=0.6180371352785145888594164456233422, A2=0.6180371352785145888594164456233422, A3=0.6180371352785145888594164456233422, A0=0.6180371352785145888594164456233422}",[{}],true,[],false,[{}],true
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A0,A0)]>",[{}],"{A1=0.6180371352785145888594164456233422, A2=0.6180371352785145888594164456233422, A3=0.6180371352785145888594164456233422, A0=0.6180371352785145888594164456233422}",[{}],true,[],false,[{}],true
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A1), (A0,A0)]>","[{A2}, {A1}]","{A1=0.6180371352785145888594164456233422, A2=0.6180371352785145888594164456233422, A3=0.6180371352785145888594164456233422, A0=0.6180371352785145888594164456233422}","[{A2}, {A1}]",true,[],false,"[{A2}, {}, {A1}]",false
"<{ A1, A2, A0 },[(A1,A2), (A2,A2)]>","[{A1,A0}]","{A1=1, A2=0.5, A0=1}","[{A1,A0}]",true,"[{A1,A0}]",true,"[{A1,A0}]",true
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A0,A0)]>",[{}],"{A1=0.6180371352785145888594164456233422, A2=0.6180371352785145888594164456233422, A3=0.6180371352785145888594164456233422, A0=0.6180371352785145888594164456233422}",[{}],true,[],false,[{}],true
"<{ A1, A2, A3, A0 },[(A1,A2), (A0,A0), (A2,A3), (A3,A1)]>",[{}],"{A1=0.6180371352785145888594164456233422, A2=0.6180371352785145888594164456233422, A3=0.6180371352785145888594164456233422, A0=0.6180371352785145888594164456233422}",[{}],true,[],false,[{}],true
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A0,A0), (A2,A3)]>","[{A2}, {A1,A3}]","{A1=0.6180371352785145888594164456233422, A2=0.6180371352785145888594164456233422, A3=0.6180371352785145888594164456233422, A0=0.6180371352785145888594164456233422}","[{A2}, {A1,A3}]",true,[],false,"[{A2}, {A1,A3}, {}]",false
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A0,A2)]>",[{A0}],"{A1=0.6180257510729613733905579399141631, A2=0.5, A3=0.6180257510729613733905579399141631, A0=1}",[{A0}],true,[],false,[{A0}],true
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A0,A2)]>",[{A0}],"{A1=0.6180257510729613733905579399141631, A2=0.5, A3=0.6180257510729613733905579399141631, A0=1}",[{A0}],true,[],false,[{A0}],true
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A0), (A0,A2)]>",[{A1}],"{A1=1, A2=0.5, A3=0.5, A0=0.6180555555555555555555555555555556}",[{A1}],true,[],false,[{A1}],true
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A3), (A0,A2)]>","[{A3,A0}]","{A1=0.6180555555555555555555555555555556, A2=0.5, A3=0.6666666666666666666666666666666667, A0=1}","[{A3,A0}]",true,[],false,"[{A3,A0}]",true
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A0,A1)]>","[{A2,A3,A0}]","{A1=0.5, A2=0.6666666666666666666666666666666667, A3=0.6666666666666666666666666666666667, A0=1}","[{A2,A3,A0}]",true,"[{A2,A3,A0}]",true,"[{A2,A3,A0}]",true
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A2,A3), (A0,A2)]>","[{A1,A3,A0}]","{A1=0.6666666666666666666666666666666667, A2=0.5, A3=0.6666666666666666666666666666666667, A0=1}","[{A1,A3,A0}]",true,"[{A1,A3,A0}]",true,"[{A1,A3,A0}]",true
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A3), (A0,A1)]>","[{A2,A0}]","{A1=0.5, A2=0.6666666666666666666666666666666667, A3=0.6000000000000000000000000000000000, A0=1}","[{A2,A0}]",true,"[{A2,A0}]",true,"[{A2,A0}]",true
"<{ A1, A2, A0 },[(A1,A2), (A2,A0)]>","[{A1,A0}]","{A1=1, A2=0.5, A0=0.6666666666666666666666666666666667}","[{A1,A0}]",true,"[{A1,A0}]",true,"[{A1,A0}]",true
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A0), (A1,A0)]>",[{A1}],"{A1=1, A2=0.5, A3=0.5, A0=0.5}",[{A1}],true,[{A1}],true,[{A1}],true
"<{ A1, A2, A3, A0 },[(A1,A2), (A0,A0), (A2,A3), (A1,A0)]>","[{A1,A3}]","{A1=1, A2=0.5, A3=0.6666666666666666666666666666666667, A0=0.5}","[{A1,A3}]",true,"[{A1,A3}]",true,"[{A1,A3}]",true
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A0,A2), (A3,A2)]>","[{A1,A0}]","{A1=1, A2=0.5, A3=0.6180555555555555555555555555555556, A0=1}","[{A1,A0}]",true,[],false,"[{A1,A0}]",true
