"AF,Ext,Ranking,grounded,
"
"<{ A0 },[]>",{A0},{A0=1},{A0}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A1), (A1,A0)]>",{},"{A1=0.0, A2=0.0, A0=0.5188021051055948469887104351368808}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>",{},"{A1=0.5188021051055948469887104351368808, A2=0.5188021051055948469887104351368808, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>",{},"{A1=0.0, A2=0.0, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>",{},"{A1=0.5436760047595988505834660080393205, A2=0.0, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>",{},"{A1=0.0, A2=0.0, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[]>","{A1,A2,A3,A0}","{A1=1, A2=1, A3=1, A0=1}","{A1,A2,A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2)]>","{A1,A3,A0}","{A1=1, A2=0.5, A3=1, A0=1}","{A1,A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1)]>","{A2,A3,A0}","{A1=0.0, A2=1, A3=1, A0=1}","{A2,A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3)]>","{A1,A0}","{A1=1, A2=0.5, A3=0.6666666666666666666666666666666667, A0=1}","{A1,A3,A0}"
"<{ A1, A2, A0 },[]>","{A1,A2,A0}","{A1=1, A2=1, A0=1}","{A1,A2,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3)]>","{A1,A0}","{A1=1, A2=0.5, A3=0.5, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1)]>","{A3,A0}","{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=1, A0=1}","{A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2)]>","{A3,A0}","{A1=0.0, A2=0.6180257510729613733905579399141631, A3=1, A0=1}","{A3,A0}"
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2)]>","{A1,A0}","{A1=1, A2=0.5, A3=0.0, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A3,A2)]>","{A1,A3,A0}","{A1=1, A2=0.3333333333333333333333333333333333, A3=1, A0=1}","{A1,A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2)]>","{A1,A3,A0}","{A1=1, A2=0.0, A3=1, A0=1}","{A1,A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A2,A2)]>","{A3,A0}","{A1=0.0, A2=0.0, A3=1, A0=1}","{A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A3,A0)]>","{A1,A3}","{A1=1, A2=0.5, A3=1, A0=0.5}","{A1,A3}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A3)]>",{A0},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A2), (A0,A0), (A2,A3)]>",{A1},"{A1=1, A2=0.5, A3=0.6666666666666666666666666666666667, A0=0.0}","{A1,A3}"
"<{ A1, A2, A0 },[(A1,A2)]>","{A1,A0}","{A1=1, A2=0.5, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3)]>",{A0},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A0)]>",{A1},"{A1=1, A2=0.5, A3=0.5, A0=0.0}",{A1}
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A1)]>",{A0},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.0, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2)]>",{A0},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.0, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A0,A0)]>",{A1},"{A1=1, A2=0.5, A3=0.0, A0=0.0}",{A1}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A3,A1)]>",{A0},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A2,A3)]>",{A0},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A0,A2)]>","{A1,A0}","{A1=1, A2=0.3333333333333333333333333333333333, A3=0.0, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A2)]>","{A1,A0}","{A1=1, A2=0.3333333333333333333333333333333333, A3=0.5, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A0,A2)]>","{A1,A0}","{A1=1, A2=0.3333333333333333333333333333333333, A3=0.7500000000000000000000000000000000, A0=1}","{A1,A3,A0}"
"<{ A1, A2, A0 },[(A1,A1)]>","{A2,A0}","{A1=0.0, A2=1, A0=1}","{A2,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A0,A2), (A3,A2)]>","{A1,A3,A0}","{A1=1, A2=0.25, A3=1, A0=1}","{A1,A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A3,A0)]>",{A3},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=1, A0=0.5}",{A3}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A3,A0)]>",{A3},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=1, A0=0.5}",{A3}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A1,A0)]>",{A1},"{A1=1, A2=0.5, A3=0.6666666666666666666666666666666667, A0=0.5}","{A1,A3}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A0), (A2,A3)]>",{A1},"{A1=1, A2=0.5, A3=0.6666666666666666666666666666666667, A0=0.6666666666666666666666666666666667}","{A1,A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A1,A0)]>",{A1},"{A1=1, A2=0.5, A3=0.5, A0=0.5}",{A1}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2), (A3,A2)]>","{A1,A3,A0}","{A1=1, A2=0.0, A3=1, A0=1}","{A1,A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A3,A0)]>",{A1},"{A1=1, A2=0.5, A3=0.6666666666666666666666666666666667, A0=0.6000000000000000000000000000000000}","{A1,A3}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A2)]>","{A3,A0}","{A1=0.0, A2=0.0, A3=1, A0=1}","{A3,A0}"
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A2)]>","{A1,A0}","{A1=1, A2=0.0, A3=0.0, A0=1}","{A1,A0}"
"<{ A1, A2, A0 },[(A1,A1), (A1,A2)]>",{A0},"{A1=0.0, A2=0.6180257510729613733905579399141631, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A3,A2)]>","{A1,A0}","{A1=1, A2=0.3660245183887915936952714535901926, A3=0.7320441988950276243093922651933701, A0=1}","{A1,A3,A0}"
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A3)]>","{A1,A0}","{A1=1, A2=0.5, A3=0.0, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A2)]>","{A1,A0}","{A1=1, A2=0.0, A3=0.5, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A1)]>","{A3,A0}","{A1=0.0, A2=0.6823178725614911278657787208368868, A3=1, A0=1}","{A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2), (A2,A3)]>","{A1,A0}","{A1=1, A2=0.0, A3=0.7071005917159763313609467455621302, A0=1}","{A1,A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A0,A3)]>","{A1,A0}","{A1=1, A2=0.5, A3=0.4, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A3,A2)]>","{A3,A0}","{A1=0.0, A2=0.3819742489270386266094420600858369, A3=1, A0=1}","{A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A3)]>","{A1,A0}","{A1=1, A2=0.5, A3=0.4, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A0,A3)]>","{A1,A0}","{A1=1, A2=0.5, A3=0.0, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A2,A2)]>",{A0},"{A1=0.0, A2=0.0, A3=0.0, A0=1}",{A0}
"<{ A1, A2, A0 },[(A1,A2), (A0,A0)]>",{A1},"{A1=1, A2=0.5, A0=0.0}",{A1}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2), (A0,A1), (A3,A2)]>","{A3,A0}","{A1=0.5, A2=0.0, A3=1, A0=1}","{A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A3), (A0,A2)]>","{A1,A0}","{A1=1, A2=0.3333333333333333333333333333333333, A3=0.4285714285714285714285714285714286, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A0,A1), (A3,A0)]>",{A3},"{A1=0.4574146130566364029399048854301773, A2=0.6861219195849546044098573281452659, A3=1, A0=0.5}",{A3}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A1), (A3,A0)]>",{A3},"{A1=0.0, A2=0.6823178725614911278657787208368868, A3=1, A0=0.5}",{A3}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A3,A0), (A3,A1)]>",{A3},"{A1=0.0, A2=0.7071005917159763313609467455621302, A3=1, A0=0.5}","{A2,A3}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A0,A3), (A1,A0)]>",{A1},"{A1=1, A2=0.5, A3=0.5, A0=0.5}","{A1,A3}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2), (A0,A2), (A3,A2)]>","{A1,A3,A0}","{A1=1, A2=0.0, A3=1, A0=1}","{A1,A3,A0}"
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A1,A3), (A2,A2)]>","{A1,A0}","{A1=1, A2=0.0, A3=0.0, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A0,A3), (A3,A2)]>","{A1,A0}","{A1=1, A2=0.4142114384748700173310225303292894, A3=0.4142114384748700173310225303292894, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A3), (A3,A2)]>","{A1,A0}","{A1=1, A2=0.4142114384748700173310225303292894, A3=0.4142114384748700173310225303292894, A0=1}","{A1,A0}"
"<{ A1, A2, A0 },[(A1,A2), (A2,A1)]>",{A0},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2)]>","{A3,A0}","{A1=0.0, A2=0.0, A3=1, A0=1}","{A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A2), (A3,A1)]>","{A3,A0}","{A1=0.0, A2=0.0, A3=1, A0=1}","{A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2), (A2,A3), (A0,A3)]>","{A1,A0}","{A1=1, A2=0.0, A3=0.4142114384748700173310225303292894, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A2), (A0,A3)]>","{A1,A0}","{A1=1, A2=0.0, A3=0.0, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A2), (A2,A3)]>","{A1,A0}","{A1=1, A2=0.0, A3=0.4142114384748700173310225303292894, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A3), (A3,A2)]>","{A1,A0}","{A1=1, A2=0.3966027002642897435332424513452045, A3=0.0, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A2,A2), (A0,A0)]>",{},"{A1=0.0, A2=0.0, A3=0.0, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A0,A0), (A2,A3)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A0,A0)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A1), (A0,A0)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.0, A0=0.0}",{}
"<{ A1, A2, A0 },[(A1,A2), (A2,A2)]>","{A1,A0}","{A1=1, A2=0.0, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A0,A0)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.0, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A0,A0), (A2,A3), (A3,A1)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A0,A0), (A2,A3)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.0}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A0,A2)]>",{A0},"{A1=0.0, A2=0.3819628647214854111405835543766578, A3=0.0, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A0,A2)]>",{A0},"{A1=0.0, A2=0.3819628647214854111405835543766578, A3=0.6180257510729613733905579399141631, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A0), (A0,A2)]>",{A1},"{A1=1, A2=0.3819742489270386266094420600858369, A3=0.5, A0=0.0}",{A1}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A3), (A0,A2)]>",{A0},"{A1=0.0, A2=0.3819742489270386266094420600858369, A3=0.7236180904522613065326633165829146, A0=1}","{A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A0,A1)]>",{A0},"{A1=0.0, A2=0.7071005917159763313609467455621302, A3=0.7071005917159763313609467455621302, A0=1}","{A2,A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A2,A3), (A0,A2)]>",{A0},"{A1=0.7320441988950276243093922651933701, A2=0.3660245183887915936952714535901926, A3=0.7320441988950276243093922651933701, A0=1}","{A1,A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A3), (A0,A1)]>",{A0},"{A1=0.0, A2=0.7071005917159763313609467455621302, A3=0.5857740585774058577405857740585774, A0=1}","{A2,A0}"
"<{ A1, A2, A0 },[(A1,A2), (A2,A0)]>",{A1},"{A1=1, A2=0.5, A0=0.6666666666666666666666666666666667}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A0), (A1,A0)]>",{A1},"{A1=1, A2=0.5, A3=0.5, A0=0.0}",{A1}
"<{ A1, A2, A3, A0 },[(A1,A2), (A0,A0), (A2,A3), (A1,A0)]>",{A1},"{A1=1, A2=0.5, A3=0.6666666666666666666666666666666667, A0=0.0}","{A1,A3}"
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A0,A2), (A3,A2)]>","{A1,A0}","{A1=1, A2=0.2763975155279503105590062111801242, A3=0.0, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A1), (A3,A0)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.0, A0=0.6180257510729613733905579399141631}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A3,A0)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.0, A0=0.6180257510729613733905579399141631}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A2), (A0,A3)]>","{A1,A0}","{A1=1, A2=0.3333333333333333333333333333333333, A3=0.3333333333333333333333333333333333, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A2,A3), (A1,A0)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.6180257510729613733905579399141631}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2), (A2,A3), (A0,A2)]>","{A1,A0}","{A1=1, A2=0.0, A3=0.7675941080196399345335515548281505, A0=1}","{A1,A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A2), (A3,A2)]>","{A1,A0}","{A1=1, A2=0.0, A3=0.5, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A3), (A1,A0)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.6180257510729613733905579399141631}",{}
"<{ A1, A0 },[]>","{A1,A0}","{A1=1, A0=1}","{A1,A0}"
"<{ A1, A2, A0 },[(A1,A2), (A1,A0)]>",{A1},"{A1=1, A2=0.5, A0=0.5}",{A1}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A0), (A2,A1), (A2,A3)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.6180257510729613733905579399141631}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A2), (A0,A2)]>","{A1,A0}","{A1=1, A2=0.0, A3=0.5, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A0,A2), (A3,A2)]>","{A1,A0}","{A1=1, A2=0.2637614678899082568807339449541284, A3=0.7912621359223300970873786407766990, A0=1}","{A1,A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A2,A2), (A3,A2)]>","{A3,A0}","{A1=0.7548630737833635051483261654113632, A2=0.0, A3=1, A0=1}","{A1,A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A3)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.6180257510729613733905579399141631}",{}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A1,A0)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.6180257510729613733905579399141631}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A2,A3), (A3,A0)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.6180257510729613733905579399141631}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A2), (A3,A2)]>","{A1,A0}","{A1=1, A2=0.2857142857142857142857142857142857, A3=0.5, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A2), (A3,A2)]>","{A3,A0}","{A1=0.0, A2=0.0, A3=1, A0=1}","{A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A3), (A3,A0)]>",{},"{A1=0.0, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.6180257510729613733905579399141631}",{}
"<{ A1, A2, A0 },[(A1,A1), (A2,A2)]>",{A0},"{A1=0.0, A2=0.0, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A2), (A0,A2)]>","{A1,A0}","{A1=1, A2=0.0, A3=0.0, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A3,A1), (A1,A0)]>",{},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.6180257510729613733905579399141631}",{}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A2), (A3,A0)]>",{A1},"{A1=1, A2=0.3750000000000000000000000000000000, A3=0.5, A0=0.6666666666666666666666666666666667}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A0,A1), (A3,A0)]>",{A3},"{A1=0.0, A2=0.6666618226207257349628703878627585, A3=1, A0=0.5}",{A3}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A0), (A0,A2)]>",{A1},"{A1=1, A2=0.3660245183887915936952714535901926, A3=0.5, A0=0.7320441988950276243093922651933701}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A0,A0), (A3,A0)]>",{A1},"{A1=1, A2=0.5, A3=0.0, A0=0.0}",{A1}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A2), (A1,A0)]>",{A1},"{A1=1, A2=0.4, A3=0.5, A0=0.5}",{A1}
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A1), (A0,A2)]>",{A0},"{A1=0.5, A2=0.4, A3=0.6666666666666666666666666666666667, A0=1}","{A3,A0}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A2,A2)]>",{A0},"{A1=0.0, A2=0.0, A3=0.0, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A2), (A0,A0)]>",{A1},"{A1=1, A2=0.0, A3=0.0, A0=0.0}",{A1}
"<{ A1, A2, A0 },[(A1,A2), (A0,A2)]>","{A1,A0}","{A1=1, A2=0.3333333333333333333333333333333333, A0=1}","{A1,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A0,A2), (A1,A0)]>",{A1},"{A1=1, A2=0.4, A3=0.7142857142857142857142857142857143, A0=0.5}","{A1,A3}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A0), (A2,A3), (A3,A0)]>",{A1},"{A1=1, A2=0.5, A3=0.6666666666666666666666666666666667, A0=0.4615384615384615384615384615384615}","{A1,A3}"
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A3)]>",{A0},"{A1=0.0, A2=0.6823178725614911278657787208368868, A3=0.5944065774177619658804324781991853, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A1), (A0,A3)]>",{A0},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.0, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A0,A1), (A3,A1)]>",{A0},"{A1=0.3874172185430463576158940397350993, A2=0.7207547169811320754716981132075472, A3=0.5811320754716981132075471698113207, A0=1}","{A2,A0}"
"<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A1), (A2,A3)]>",{A0},"{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.4472049689440993788819875776397515, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A3), (A3,A1)]>",{A0},"{A1=0.0, A2=0.6751471087073495732105949031353636, A3=0.5969817067384638035800567009073528, A0=1}",{A0}
"<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A3), (A3,A2)]>",{A0},"{A1=0.0, A2=0.4316731327573274140390653029005002, A3=0.6984646454461457617291838557022676, A0=1}",{A0}
